variable,beta,method
lbx074la,2.4311552807260566e-4,Grouped Lasso
lbx099la,0.0014764521759856183,Grouped Lasso
lbx118la,0.004987735063857088,Grouped Lasso
lbx138la,-0.005108470047247141,Grouped Lasso
lbx153la,0.012115857678858859,Grouped Lasso
lbx170la,0.004137744618106919,Grouped Lasso
lbx180la,-0.009606363422374474,Grouped Lasso
lbx187la,-0.0012329599083009438,Grouped Lasso
lbxd03la,-0.005732351261250198,Grouped Lasso
lbxd05la,0.0033672980702491922,Grouped Lasso
lbxd07la,-0.010948286775432203,Grouped Lasso
lbxf03la,0.014880127214395564,Grouped Lasso
lbxf04la,0.004549489096732129,Grouped Lasso
lbxf05la,-0.007755746873378131,Grouped Lasso
lbxf08la,0.009009160183004315,Grouped Lasso
lbxpcbla,0.012088022395017904,Grouped Lasso
lbxhxcla,0.008709727015763176,Grouped Lasso
lbx194la,-4.479059904033076e-4,Grouped Lasso
lbxwbcsi,-0.006125611138141692,Grouped Lasso
lbxlypct,-0.0027352386387069134,Grouped Lasso
lbxmopct,-0.00772621218029673,Grouped Lasso
lbxnepct,-0.0018251697108968865,Grouped Lasso
lbxeopct,-0.001811895024237798,Grouped Lasso
lbxbapct,0.016196281973911462,Grouped Lasso
bmi_cat32,-0.004593805455983679,Grouped Lasso
bmi_cat33,-0.018565807756217082,Grouped Lasso
edu_cat2,0.01951231945739198,Grouped Lasso
edu_cat3,0.0362089650838015,Grouped Lasso
edu_cat4,0.014463388164513558,Grouped Lasso
race_cat2,-0.02718031878896715,Grouped Lasso
race_cat3,0.00990469990616537,Grouped Lasso
race_cat4,-0.03457376173852912,Grouped Lasso
male1,-0.04062701773089239,Grouped Lasso
ln_lbxcot,0.003571007279205635,Grouped Lasso
age_cent,-0.006148586733005097,Grouped Lasso
age_sq,-1.2995524175553694e-5,Grouped Lasso
lbx074la,0,MCP
lbx099la,0,MCP
lbx118la,6.577934509527728e-4,MCP
lbx138la,0,MCP
lbx153la,0,MCP
lbx170la,0,MCP
lbx180la,0,MCP
lbx187la,0,MCP
lbxd03la,-0.0012677527138494282,MCP
lbxd05la,5.529069910571624e-4,MCP
lbxd07la,-0.002075089172074871,MCP
lbxf03la,0.0027569685886447057,MCP
lbxf04la,8.981174389145159e-4,MCP
lbxf05la,-0.001927616251417619,MCP
lbxf08la,0.0017004905782494453,MCP
lbxpcbla,0.021181823338620256,MCP
lbxhxcla,0.024860861348481048,MCP
lbx194la,0,MCP
lbxwbcsi,-0.006139352520266859,MCP
lbxlypct,-0.006406975727961824,MCP
lbxmopct,-0.011164153143611804,MCP
lbxnepct,-0.005474537813690241,MCP
lbxeopct,-0.005587294668981078,MCP
lbxbapct,0.012842087678914321,MCP
bmi_cat32,-8.107642694547972e-4,MCP
bmi_cat33,-0.01679992998604823,MCP
edu_cat2,0.01625852260963292,MCP
edu_cat3,0.03328681631110194,MCP
edu_cat4,0.01294933940706106,MCP
race_cat2,-0.024954774691448557,MCP
race_cat3,0.007696422989472087,MCP
race_cat4,-0.03408192139190494,MCP
male1,-0.042251583196164455,MCP
ln_lbxcot,0.003555098410904346,MCP
age_cent,-0.006868218108238271,MCP
age_sq,-5.567769339354645e-6,MCP
lbx074la,4.341748018497232e-4,SCAD
lbx099la,0.0010292539094951228,SCAD
lbx118la,0.002278975831860126,SCAD
lbx138la,-0.003915205214180785,SCAD
lbx153la,0.008789835779022849,SCAD
lbx170la,0.0027615941981648314,SCAD
lbx180la,-0.0073168272692416,SCAD
lbx187la,-0.001409843212864543,SCAD
lbxd03la,-0.004425180707290384,SCAD
lbxd05la,0.002208038261502175,SCAD
lbxd07la,-0.007625510695603562,SCAD
lbxf03la,0.009879800502281162,SCAD
lbxf04la,0.003281861613225177,SCAD
lbxf05la,-0.0064991805455028,SCAD
lbxf08la,0.006076311073124212,SCAD
lbxpcbla,0.019564511113326754,SCAD
lbxhxcla,0.022534828971292303,SCAD
lbx194la,4.528733053124014e-4,SCAD
lbxwbcsi,-0.006017381140078331,SCAD
lbxlypct,-0.0068003113686259924,SCAD
lbxmopct,-0.01163759573562715,SCAD
lbxnepct,-0.005832914085967578,SCAD
lbxeopct,-0.005916893335619822,SCAD
lbxbapct,0.01202367912810598,SCAD
bmi_cat32,-0.00165370810851655,SCAD
bmi_cat33,-0.01712321098996356,SCAD
edu_cat2,0.016971448426367438,SCAD
edu_cat3,0.033959512988051437,SCAD
edu_cat4,0.012585557334599934,SCAD
race_cat2,-0.02367490496515682,SCAD
race_cat3,0.009130371240882871,SCAD
race_cat4,-0.03372769973127891,SCAD
male1,-0.04265692798312084,SCAD
ln_lbxcot,0.0036953566481660108,SCAD
age_cent,-0.006683952206854407,SCAD
age_sq,-9.486442554622025e-6,SCAD
