"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4.23260174693346,8.14671009882993,0.519547362749703,0.603498114263965
"LBX074LA",-0.00104531759596343,0.0139389401027902,-0.0749926169604664,0.940236112870686
"LBX099LA",0.00278888530367857,0.0152607515080026,0.182748883776537,0.855033403446886
"LBX118LA",0.00917189327473417,0.0159012333148778,0.576803892698849,0.564206322520379
"LBX138LA",-0.0134482559969901,0.0246309036430386,-0.545991174010011,0.585198068753482
"LBX153LA",0.0328454725534328,0.0298374533130632,1.1008135382336,0.271252042129501
"LBX170LA",0.0118360195716237,0.0257161687091908,0.460255946578604,0.64543609864364
"LBX180LA",-0.0354940722450037,0.0191122453513924,-1.85713774558769,0.0635957564905089
"LBX187LA",-0.00537163374351709,0.0179543719569197,-0.29918249195271,0.764865160901127
"LBX194LA",-0.000153406308042925,0.0188097760844872,-0.00815566901774242,0.993494473662667
"LBXD03LA",-0.00676616416590245,0.00878456510680135,-0.770233253853833,0.441349860853501
"LBXD05LA",0.00393382881169885,0.0108936516634376,0.361112043347409,0.718094649079937
"LBXD07LA",-0.0151247985278824,0.0115228342768706,-1.31259360019105,0.189631690210765
"LBXF03LA",0.0198669147407238,0.00842902048444724,2.35696600540728,0.0186236776183966
"LBXF04LA",0.0076845547266784,0.0134437966565465,0.571605992190931,0.567721906779978
"LBXF05LA",-0.0104755897812459,0.0121728350052149,-0.860571081162118,0.389687853742018
"LBXF08LA",0.0117065357196049,0.00851030990121376,1.37557102567267,0.169273354765449
"LBXPCBLA",0.00871274161101081,0.00742444290723999,1.17352126211578,0.240876093488277
"LBXHXCLA",0.013325896751933,0.0113189580481254,1.17730772525832,0.239362688964937
"LBXWBCSI",-0.00564095914979502,0.00370612271806214,-1.52206485832303,0.128320091695378
"LBXLYPCT",-0.0417051127453864,0.0814709238512436,-0.511901802188165,0.608836738338232
"LBXMOPCT",-0.046719571708784,0.0815050322916746,-0.57321088520759,0.566635322184754
"LBXEOPCT",-0.040557935819051,0.0815037117439299,-0.497620721206867,0.618864647709815
"LBXBAPCT",-0.0246916235495946,0.0826967928153716,-0.298580183208809,0.765324602030656
"LBXNEPCT",-0.0406533861382126,0.0814550493936669,-0.499089822433689,0.617829743343319
"age_cent",-0.00586874294942637,0.000823313344752077,-7.12820092961522,1.98929385577712e-12
"age_sq",-2.69348760812988e-05,2.4173894286171e-05,-1.11421336431951,0.265464805989734
"as.factor(race_cat)2",-0.0214358993237148,0.0278885985385334,-0.768625906178005,0.442303288835577
"as.factor(race_cat)3",0.0131251146953109,0.0291877012506832,0.449679629875054,0.653042342682726
"as.factor(race_cat)4",-0.033495336157814,0.0259458580754592,-1.29097045317979,0.197022782507116
"as.factor(bmi_cat3)2",-0.00766853763353065,0.0169033923565004,-0.453668557872742,0.650169298135606
"as.factor(bmi_cat3)3",-0.0224717052590696,0.0190872645978868,-1.17731407472381,0.239360156812222
"ln_lbxcot",0.00414129384354989,0.00216865606216222,1.90961301600811,0.0564790341737165
"as.factor(edu_cat)2",0.0195475681040846,0.0186675455594965,1.04714184528348,0.295296092429716
"as.factor(edu_cat)3",0.0376293170627715,0.018430820471025,2.04165176053494,0.0414573254377919
"as.factor(edu_cat)4",0.0128449156741635,0.0218110709495764,0.588917238583047,0.556054476098509
"male",-0.0402530483216872,0.0163664063609831,-2.45949217157708,0.0140876857223838
