variable,beta,method
lbx074la,2.431155280725735e-4,Grouped Lasso
lbx099la,0.0014764521759857037,Grouped Lasso
lbx118la,0.0049877350638570465,Grouped Lasso
lbx138la,-0.005108470047247275,Grouped Lasso
lbx153la,0.012115857678859171,Grouped Lasso
lbx170la,0.004137744618106926,Grouped Lasso
lbx180la,-0.00960636342237467,Grouped Lasso
lbx187la,-0.0012329599083009634,Grouped Lasso
lbxd03la,-0.0057323512612501015,Grouped Lasso
lbxd05la,0.0033672980702492005,Grouped Lasso
lbxd07la,-0.010948286775432173,Grouped Lasso
lbxf03la,0.014880127214395454,Grouped Lasso
lbxf04la,0.00454948909673196,Grouped Lasso
lbxf05la,-0.0077557468733779845,Grouped Lasso
lbxf08la,0.00900916018300428,Grouped Lasso
lbxpcbla,0.012088022395018007,Grouped Lasso
lbxhxcla,0.0087097270157632245,Grouped Lasso
lbx194la,-4.479059904032909e-4,Grouped Lasso
lbxwbcsi,-0.006125611138141708,Grouped Lasso
lbxlypct,-0.002735238638706961,Grouped Lasso
lbxmopct,-0.007726212180296792,Grouped Lasso
lbxnepct,-0.00182516971089692,Grouped Lasso
lbxeopct,-0.0018118950242378162,Grouped Lasso
lbxbapct,0.016196281973911195,Grouped Lasso
bmi_cat32,-0.0045938054559838985,Grouped Lasso
bmi_cat33,-0.01856580775621741,Grouped Lasso
edu_cat2,0.019512319457391673,Grouped Lasso
edu_cat3,0.03620896508380136,Grouped Lasso
edu_cat4,0.01446338816451357,Grouped Lasso
race_cat2,-0.027180318788967026,Grouped Lasso
race_cat3,0.009904699906165356,Grouped Lasso
race_cat4,-0.03457376173852917,Grouped Lasso
male1,-0.040627017730892084,Grouped Lasso
ln_lbxcot,0.0035710072792056345,Grouped Lasso
age_cent,-0.006148586733005091,Grouped Lasso
age_sq,-1.2995524175553631e-5,Grouped Lasso
lbx074la,0,MCP
lbx099la,0,MCP
lbx118la,6.57793450952751e-4,MCP
lbx138la,0,MCP
lbx153la,0,MCP
lbx170la,0,MCP
lbx180la,0,MCP
lbx187la,0,MCP
lbxd03la,-0.0012677527138494076,MCP
lbxd05la,5.529069910571541e-4,MCP
lbxd07la,-0.002075089172074827,MCP
lbxf03la,0.002756968588644661,MCP
lbxf04la,8.981174389145333e-4,MCP
lbxf05la,-0.001927616251417609,MCP
lbxf08la,0.001700490578249405,MCP
lbxpcbla,0.02118182333862004,MCP
lbxhxcla,0.024860861348481197,MCP
lbx194la,0,MCP
lbxwbcsi,-0.006139352520266937,MCP
lbxlypct,-0.00640697572796173,MCP
lbxmopct,-0.011164153143611766,MCP
lbxnepct,-0.005474537813690159,MCP
lbxeopct,-0.005587294668981027,MCP
lbxbapct,0.012842087678914428,MCP
bmi_cat32,-8.107642694548378e-4,MCP
bmi_cat33,-0.01679992998604782,MCP
edu_cat2,0.016258522609633643,MCP
edu_cat3,0.03328681631110172,MCP
edu_cat4,0.012949339407060697,MCP
race_cat2,-0.024954774691448505,MCP
race_cat3,0.007696422989472102,MCP
race_cat4,-0.03408192139190404,MCP
male1,-0.04225158319616438,MCP
ln_lbxcot,0.0035550984109043644,MCP
age_cent,-0.006868218108238286,MCP
age_sq,-5.56776933935475e-6,MCP
lbx074la,4.341748018496693e-4,SCAD
lbx099la,0.0010292539094951907,SCAD
lbx118la,0.0022789758318601926,SCAD
lbx138la,-0.003915205214180963,SCAD
lbx153la,0.00878983577902311,SCAD
lbx170la,0.002761594198164971,SCAD
lbx180la,-0.007316827269241807,SCAD
lbx187la,-0.0014098432128645472,SCAD
lbxd03la,-0.0044251807072903495,SCAD
lbxd05la,0.0022080382615022225,SCAD
lbxd07la,-0.007625510695603695,SCAD
lbxf03la,0.009879800502281202,SCAD
lbxf04la,0.0032818616132251808,SCAD
lbxf05la,-0.006499180545502966,SCAD
lbxf08la,0.006076311073124265,SCAD
lbxpcbla,0.019564511113326778,SCAD
lbxhxcla,0.02253482897129226,SCAD
lbx194la,4.528733053124147e-4,SCAD
lbxwbcsi,-0.006017381140078359,SCAD
lbxlypct,-0.006800311368626072,SCAD
lbxmopct,-0.011637595735627199,SCAD
lbxnepct,-0.0058329140859676555,SCAD
lbxeopct,-0.005916893335619937,SCAD
lbxbapct,0.012023679128106141,SCAD
bmi_cat32,-0.001653708108516433,SCAD
bmi_cat33,-0.017123210989963483,SCAD
edu_cat2,0.016971448426367386,SCAD
edu_cat3,0.03395951298805128,SCAD
edu_cat4,0.012585557334600499,SCAD
race_cat2,-0.02367490496515681,SCAD
race_cat3,0.009130371240882784,SCAD
race_cat4,-0.0337276997312792,SCAD
male1,-0.04265692798312053,SCAD
ln_lbxcot,0.003695356648166033,SCAD
age_cent,-0.006683952206854423,SCAD
age_sq,-9.48644255462175e-6,SCAD
